card_id,rank_corpus,verbo,verbo_base,tiempo_id,tiempo,regularidad_tarjeta,terminacion,pronominal,patrones,aplicable,yo,tu,el_ella_usted,nosotros,ellos_ellas_ustedes,nota
llegar__imperfecto_subjuntivo,20,llegar,llegar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,-gar,sí,llegara,llegaras,llegara,llegáramos,llegaran,
llegar__imperativo_afirmativo,20,llegar,llegar,imperativo_afirmativo,Imperativo afirmativo,ortografico,ar,no,-gar,sí,,llega,llegue,lleguemos,lleguen,
llegar__imperativo_negativo,20,llegar,llegar,imperativo_negativo,Imperativo negativo,ortografico,ar,no,-gar,sí,,no llegues,no llegue,no lleguemos,no lleguen,
comer__presente_indicativo,21,comer,comer,presente_indicativo,Presente,regular,er,no,regular,sí,como,comes,come,comemos,comen,
comer__preterito,21,comer,comer,preterito,Pretérito,regular,er,no,regular,sí,comí,comiste,comió,comimos,comieron,
comer__imperfecto,21,comer,comer,imperfecto,Imperfecto,regular,er,no,regular,sí,comía,comías,comía,comíamos,comían,
comer__futuro,21,comer,comer,futuro,Futuro,regular,er,no,regular,sí,comeré,comerás,comerá,comeremos,comerán,
comer__condicional,21,comer,comer,condicional,Condicional,regular,er,no,regular,sí,comería,comerías,comería,comeríamos,comerían,
comer__presente_subjuntivo,21,comer,comer,presente_subjuntivo,Presente de subjuntivo,regular,er,no,regular,sí,coma,comas,coma,comamos,coman,
comer__imperfecto_subjuntivo,21,comer,comer,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,er,no,regular,sí,comiera,comieras,comiera,comiéramos,comieran,
comer__imperativo_afirmativo,21,comer,comer,imperativo_afirmativo,Imperativo afirmativo,regular,er,no,regular,sí,,come,coma,comamos,coman,
comer__imperativo_negativo,21,comer,comer,imperativo_negativo,Imperativo negativo,regular,er,no,regular,sí,,no comas,no coma,no comamos,no coman,
dejar__presente_indicativo,22,dejar,dejar,presente_indicativo,Presente,regular,ar,no,regular,sí,dejo,dejas,deja,dejamos,dejan,
dejar__preterito,22,dejar,dejar,preterito,Pretérito,regular,ar,no,regular,sí,dejé,dejaste,dejó,dejamos,dejaron,
dejar__imperfecto,22,dejar,dejar,imperfecto,Imperfecto,regular,ar,no,regular,sí,dejaba,dejabas,dejaba,dejábamos,dejaban,
dejar__futuro,22,dejar,dejar,futuro,Futuro,regular,ar,no,regular,sí,dejaré,dejarás,dejará,dejaremos,dejarán,
dejar__condicional,22,dejar,dejar,condicional,Condicional,regular,ar,no,regular,sí,dejaría,dejarías,dejaría,dejaríamos,dejarían,
dejar__presente_subjuntivo,22,dejar,dejar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,deje,dejes,deje,dejemos,dejen,
dejar__imperfecto_subjuntivo,22,dejar,dejar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,dejara,dejaras,dejara,dejáramos,dejaran,
dejar__imperativo_afirmativo,22,dejar,dejar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,no,regular,sí,,deja,deje,dejemos,dejen,
dejar__imperativo_negativo,22,dejar,dejar,imperativo_negativo,Imperativo negativo,regular,ar,no,regular,sí,,no dejes,no deje,no dejemos,no dejen,
hablar__presente_indicativo,23,hablar,hablar,presente_indicativo,Presente,regular,ar,no,regular,sí,hablo,hablas,habla,hablamos,hablan,
hablar__preterito,23,hablar,hablar,preterito,Pretérito,regular,ar,no,regular,sí,hablé,hablaste,habló,hablamos,hablaron,
hablar__imperfecto,23,hablar,hablar,imperfecto,Imperfecto,regular,ar,no,regular,sí,hablaba,hablabas,hablaba,hablábamos,hablaban,
hablar__futuro,23,hablar,hablar,futuro,Futuro,regular,ar,no,regular,sí,hablaré,hablarás,hablará,hablaremos,hablarán,
hablar__condicional,23,hablar,hablar,condicional,Condicional,regular,ar,no,regular,sí,hablaría,hablarías,hablaría,hablaríamos,hablarían,
hablar__presente_subjuntivo,23,hablar,hablar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,hable,hables,hable,hablemos,hablen,
hablar__imperfecto_subjuntivo,23,hablar,hablar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,hablara,hablaras,hablara,habláramos,hablaran,
hablar__imperativo_afirmativo,23,hablar,hablar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,no,regular,sí,,habla,hable,hablemos,hablen,
hablar__imperativo_negativo,23,hablar,hablar,imperativo_negativo,Imperativo negativo,regular,ar,no,regular,sí,,no hables,no hable,no hablemos,no hablen,
pedir__presente_indicativo,25,pedir,pedir,presente_indicativo,Presente,irregular,ir,no,e→i;pretérito_3a_e→i,sí,pido,pides,pide,pedimos,piden,
pedir__preterito,25,pedir,pedir,preterito,Pretérito,irregular,ir,no,e→i;pretérito_3a_e→i,sí,pedí,pediste,pidió,pedimos,pidieron,
pedir__imperfecto,25,pedir,pedir,imperfecto,Imperfecto,regular,ir,no,e→i;pretérito_3a_e→i,sí,pedía,pedías,pedía,pedíamos,pedían,
pedir__futuro,25,pedir,pedir,futuro,Futuro,regular,ir,no,e→i;pretérito_3a_e→i,sí,pediré,pedirás,pedirá,pediremos,pedirán,
pedir__condicional,25,pedir,pedir,condicional,Condicional,regular,ir,no,e→i;pretérito_3a_e→i,sí,pediría,pedirías,pediría,pediríamos,pedirían,
pedir__presente_subjuntivo,25,pedir,pedir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,e→i;pretérito_3a_e→i,sí,pida,pidas,pida,pidamos,pidan,
pedir__imperfecto_subjuntivo,25,pedir,pedir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,e→i;pretérito_3a_e→i,sí,pidiera,pidieras,pidiera,pidiéramos,pidieran,
pedir__imperativo_afirmativo,25,pedir,pedir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,e→i;pretérito_3a_e→i,sí,,pide,pida,pidamos,pidan,
pedir__imperativo_negativo,25,pedir,pedir,imperativo_negativo,Imperativo negativo,irregular,ir,no,e→i;pretérito_3a_e→i,sí,,no pidas,no pida,no pidamos,no pidan,
llevar__presente_indicativo,26,llevar,llevar,presente_indicativo,Presente,regular,ar,no,regular,sí,llevo,llevas,lleva,llevamos,llevan,
llevar__preterito,26,llevar,llevar,preterito,Pretérito,regular,ar,no,regular,sí,llevé,llevaste,llevó,llevamos,llevaron,
llevar__imperfecto,26,llevar,llevar,imperfecto,Imperfecto,regular,ar,no,regular,sí,llevaba,llevabas,llevaba,llevábamos,llevaban,
llevar__futuro,26,llevar,llevar,futuro,Futuro,regular,ar,no,regular,sí,llevaré,llevarás,llevará,llevaremos,llevarán,
llevar__condicional,26,llevar,llevar,condicional,Condicional,regular,ar,no,regular,sí,llevaría,llevarías,llevaría,llevaríamos,llevarían,
llevar__presente_subjuntivo,26,llevar,llevar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,lleve,lleves,lleve,llevemos,lleven,
llevar__imperfecto_subjuntivo,26,llevar,llevar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,llevara,llevaras,llevara,lleváramos,llevaran,
llevar__imperativo_afirmativo,26,llevar,llevar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,no,regular,sí,,lleva,lleve,llevemos,lleven,
llevar__imperativo_negativo,26,llevar,llevar,imperativo_negativo,Imperativo negativo,regular,ar,no,regular,sí,,no lleves,no lleve,no llevemos,no lleven,
sentir__presente_indicativo,35,sentir,sentir,presente_indicativo,Presente,irregular,ir,no,e→ie;pretérito_3a_e→i,sí,siento,sientes,siente,sentimos,sienten,
sentir__preterito,35,sentir,sentir,preterito,Pretérito,irregular,ir,no,e→ie;pretérito_3a_e→i,sí,sentí,sentiste,sintió,sentimos,sintieron,
sentir__imperfecto,35,sentir,sentir,imperfecto,Imperfecto,regular,ir,no,e→ie;pretérito_3a_e→i,sí,sentía,sentías,sentía,sentíamos,sentían,
sentir__futuro,35,sentir,sentir,futuro,Futuro,regular,ir,no,e→ie;pretérito_3a_e→i,sí,sentiré,sentirás,sentirá,sentiremos,sentirán,
sentir__condicional,35,sentir,sentir,condicional,Condicional,regular,ir,no,e→ie;pretérito_3a_e→i,sí,sentiría,sentirías,sentiría,sentiríamos,sentirían,
sentir__presente_subjuntivo,35,sentir,sentir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,e→ie;pretérito_3a_e→i,sí,sienta,sientas,sienta,sintamos,sientan,
sentir__imperfecto_subjuntivo,35,sentir,sentir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,e→ie;pretérito_3a_e→i,sí,sintiera,sintieras,sintiera,sintiéramos,sintieran,
sentir__imperativo_afirmativo,35,sentir,sentir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,e→ie;pretérito_3a_e→i,sí,,siente,sienta,sintamos,sientan,
sentir__imperativo_negativo,35,sentir,sentir,imperativo_negativo,Imperativo negativo,irregular,ir,no,e→ie;pretérito_3a_e→i,sí,,no sientas,no sienta,no sintamos,no sientan,
empezar__presente_indicativo,36,empezar,empezar,presente_indicativo,Presente,irregular,ar,no,e→ie;-zar,sí,empiezo,empiezas,empieza,empezamos,empiezan,
empezar__preterito,36,empezar,empezar,preterito,Pretérito,ortografico,ar,no,e→ie;-zar,sí,empecé,empezaste,empezó,empezamos,empezaron,
empezar__imperfecto,36,empezar,empezar,imperfecto,Imperfecto,regular,ar,no,e→ie;-zar,sí,empezaba,empezabas,empezaba,empezábamos,empezaban,
empezar__futuro,36,empezar,empezar,futuro,Futuro,regular,ar,no,e→ie;-zar,sí,empezaré,empezarás,empezará,empezaremos,empezarán,
empezar__condicional,36,empezar,empezar,condicional,Condicional,regular,ar,no,e→ie;-zar,sí,empezaría,empezarías,empezaría,empezaríamos,empezarían,
empezar__presente_subjuntivo,36,empezar,empezar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,e→ie;-zar,sí,empiece,empieces,empiece,empecemos,empiecen,
empezar__imperfecto_subjuntivo,36,empezar,empezar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,e→ie;-zar,sí,empezara,empezaras,empezara,empezáramos,empezaran,
empezar__imperativo_afirmativo,36,empezar,empezar,imperativo_afirmativo,Imperativo afirmativo,irregular,ar,no,e→ie;-zar,sí,,empieza,empiece,empecemos,empiecen,
empezar__imperativo_negativo,36,empezar,empezar,imperativo_negativo,Imperativo negativo,irregular,ar,no,e→ie;-zar,sí,,no empieces,no empiece,no empecemos,no empiecen,
quedar__presente_indicativo,37,quedar,quedar,presente_indicativo,Presente,regular,ar,no,regular,sí,quedo,quedas,queda,quedamos,quedan,
quedar__preterito,37,quedar,quedar,preterito,Pretérito,regular,ar,no,regular,sí,quedé,quedaste,quedó,quedamos,quedaron,
quedar__imperfecto,37,quedar,quedar,imperfecto,Imperfecto,regular,ar,no,regular,sí,quedaba,quedabas,quedaba,quedábamos,quedaban,
quedar__futuro,37,quedar,quedar,futuro,Futuro,regular,ar,no,regular,sí,quedaré,quedarás,quedará,quedaremos,quedarán,
quedar__condicional,37,quedar,quedar,condicional,Condicional,regular,ar,no,regular,sí,quedaría,quedarías,quedaría,quedaríamos,quedarían,
quedar__presente_subjuntivo,37,quedar,quedar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,quede,quedes,quede,quedemos,queden,
quedar__imperfecto_subjuntivo,37,quedar,quedar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,quedara,quedaras,quedara,quedáramos,quedaran,
quedar__imperativo_afirmativo,37,quedar,quedar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,no,regular,sí,,queda,quede,quedemos,queden,
quedar__imperativo_negativo,37,quedar,quedar,imperativo_negativo,Imperativo negativo,regular,ar,no,regular,sí,,no quedes,no quede,no quedemos,no queden,
pensar__presente_indicativo,39,pensar,pensar,presente_indicativo,Presente,irregular,ar,no,e→ie,sí,pienso,piensas,piensa,pensamos,piensan,
pensar__preterito,39,pensar,pensar,preterito,Pretérito,regular,ar,no,e→ie,sí,pensé,pensaste,pensó,pensamos,pensaron,
pensar__imperfecto,39,pensar,pensar,imperfecto,Imperfecto,regular,ar,no,e→ie,sí,pensaba,pensabas,pensaba,pensábamos,pensaban,
pensar__futuro,39,pensar,pensar,futuro,Futuro,regular,ar,no,e→ie,sí,pensaré,pensarás,pensará,pensaremos,pensarán,
pensar__condicional,39,pensar,pensar,condicional,Condicional,regular,ar,no,e→ie,sí,pensaría,pensarías,pensaría,pensaríamos,pensarían,
pensar__presente_subjuntivo,39,pensar,pensar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,e→ie,sí,piense,pienses,piense,pensemos,piensen,
pensar__imperfecto_subjuntivo,39,pensar,pensar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,e→ie,sí,pensara,pensaras,pensara,pensáramos,pensaran,
pensar__imperativo_afirmativo,39,pensar,pensar,imperativo_afirmativo,Imperativo afirmativo,irregular,ar,no,e→ie,sí,,piensa,piense,pensemos,piensen,
pensar__imperativo_negativo,39,pensar,pensar,imperativo_negativo,Imperativo negativo,irregular,ar,no,e→ie,sí,,no pienses,no piense,no pensemos,no piensen,
pagar__presente_indicativo,42,pagar,pagar,presente_indicativo,Presente,regular,ar,no,-gar,sí,pago,pagas,paga,pagamos,pagan,
pagar__preterito,42,pagar,pagar,preterito,Pretérito,ortografico,ar,no,-gar,sí,pagué,pagaste,pagó,pagamos,pagaron,
pagar__imperfecto,42,pagar,pagar,imperfecto,Imperfecto,regular,ar,no,-gar,sí,pagaba,pagabas,pagaba,pagábamos,pagaban,
pagar__futuro,42,pagar,pagar,futuro,Futuro,regular,ar,no,-gar,sí,pagaré,pagarás,pagará,pagaremos,pagarán,
pagar__condicional,42,pagar,pagar,condicional,Condicional,regular,ar,no,-gar,sí,pagaría,pagarías,pagaría,pagaríamos,pagarían,
pagar__presente_subjuntivo,42,pagar,pagar,presente_subjuntivo,Presente de subjuntivo,ortografico,ar,no,-gar,sí,pague,pagues,pague,paguemos,paguen,
pagar__imperfecto_subjuntivo,42,pagar,pagar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,-gar,sí,pagara,pagaras,pagara,pagáramos,pagaran,
pagar__imperativo_afirmativo,42,pagar,pagar,imperativo_afirmativo,Imperativo afirmativo,ortografico,ar,no,-gar,sí,,paga,pague,paguemos,paguen,
pagar__imperativo_negativo,42,pagar,pagar,imperativo_negativo,Imperativo negativo,ortografico,ar,no,-gar,sí,,no pagues,no pague,no paguemos,no paguen,
quedarse__presente_indicativo,43,quedarse,quedar,presente_indicativo,Presente,regular,ar,sí,pronominal,sí,me quedo,te quedas,se queda,nos quedamos,se quedan,
quedarse__preterito,43,quedarse,quedar,preterito,Pretérito,regular,ar,sí,pronominal,sí,me quedé,te quedaste,se quedó,nos quedamos,se quedaron,
quedarse__imperfecto,43,quedarse,quedar,imperfecto,Imperfecto,regular,ar,sí,pronominal,sí,me quedaba,te quedabas,se quedaba,nos quedábamos,se quedaban,
quedarse__futuro,43,quedarse,quedar,futuro,Futuro,regular,ar,sí,pronominal,sí,me quedaré,te quedarás,se quedará,nos quedaremos,se quedarán,
quedarse__condicional,43,quedarse,quedar,condicional,Condicional,regular,ar,sí,pronominal,sí,me quedaría,te quedarías,se quedaría,nos quedaríamos,se quedarían,
quedarse__presente_subjuntivo,43,quedarse,quedar,presente_subjuntivo,Presente de subjuntivo,regular,ar,sí,pronominal,sí,me quede,te quedes,se quede,nos quedemos,se queden,
quedarse__imperfecto_subjuntivo,43,quedarse,quedar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,sí,pronominal,sí,me quedara,te quedaras,se quedara,nos quedáramos,se quedaran,
quedarse__imperativo_afirmativo,43,quedarse,quedar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,sí,pronominal,sí,,quédate,quédese,quedémonos,quédense,
quedarse__imperativo_negativo,43,quedarse,quedar,imperativo_negativo,Imperativo negativo,regular,ar,sí,pronominal,sí,,no te quedes,no se quede,no nos quedemos,no se queden,
llamarse__presente_indicativo,44,llamarse,llamar,presente_indicativo,Presente,regular,ar,sí,pronominal,sí,me llamo,te llamas,se llama,nos llamamos,se llaman,
llamarse__preterito,44,llamarse,llamar,preterito,Pretérito,regular,ar,sí,pronominal,sí,me llamé,te llamaste,se llamó,nos llamamos,se llamaron,
llamarse__imperfecto,44,llamarse,llamar,imperfecto,Imperfecto,regular,ar,sí,pronominal,sí,me llamaba,te llamabas,se llamaba,nos llamábamos,se llamaban,
llamarse__futuro,44,llamarse,llamar,futuro,Futuro,regular,ar,sí,pronominal,sí,me llamaré,te llamarás,se llamará,nos llamaremos,se llamarán,
llamarse__condicional,44,llamarse,llamar,condicional,Condicional,regular,ar,sí,pronominal,sí,me llamaría,te llamarías,se llamaría,nos llamaríamos,se llamarían,
llamarse__presente_subjuntivo,44,llamarse,llamar,presente_subjuntivo,Presente de subjuntivo,regular,ar,sí,pronominal,sí,me llame,te llames,se llame,nos llamemos,se llamen,
llamarse__imperfecto_subjuntivo,44,llamarse,llamar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,sí,pronominal,sí,me llamara,te llamaras,se llamara,nos llamáramos,se llamaran,
llamarse__imperativo_afirmativo,44,llamarse,llamar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,sí,pronominal,sí,,llámate,llámese,llamémonos,llámense,
llamarse__imperativo_negativo,44,llamarse,llamar,imperativo_negativo,Imperativo negativo,regular,ar,sí,pronominal,sí,,no te llames,no se llame,no nos llamemos,no se llamen,
seguir__presente_indicativo,45,seguir,seguir,presente_indicativo,Presente,irregular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,sigo,sigues,sigue,seguimos,siguen,
seguir__preterito,45,seguir,seguir,preterito,Pretérito,irregular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,seguí,seguiste,siguió,seguimos,siguieron,
seguir__imperfecto,45,seguir,seguir,imperfecto,Imperfecto,regular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,seguía,seguías,seguía,seguíamos,seguían,
seguir__futuro,45,seguir,seguir,futuro,Futuro,regular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,seguiré,seguirás,seguirá,seguiremos,seguirán,
seguir__condicional,45,seguir,seguir,condicional,Condicional,regular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,seguiría,seguirías,seguiría,seguiríamos,seguirían,
seguir__presente_subjuntivo,45,seguir,seguir,presente_subjuntivo,Presente de subjuntivo,irregular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,siga,sigas,siga,sigamos,sigan,
seguir__imperfecto_subjuntivo,45,seguir,seguir,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,siguiera,siguieras,siguiera,siguiéramos,siguieran,
seguir__imperativo_afirmativo,45,seguir,seguir,imperativo_afirmativo,Imperativo afirmativo,irregular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,,sigue,siga,sigamos,sigan,
seguir__imperativo_negativo,45,seguir,seguir,imperativo_negativo,Imperativo negativo,irregular,ir,no,e→i;-guir;pretérito_3a_e→i,sí,,no sigas,no siga,no sigamos,no sigan,
andar__presente_indicativo,47,andar,andar,presente_indicativo,Presente,regular,ar,no,pretérito_fuerte,sí,ando,andas,anda,andamos,andan,
andar__preterito,47,andar,andar,preterito,Pretérito,irregular,ar,no,pretérito_fuerte,sí,anduve,anduviste,anduvo,anduvimos,anduvieron,
andar__imperfecto,47,andar,andar,imperfecto,Imperfecto,regular,ar,no,pretérito_fuerte,sí,andaba,andabas,andaba,andábamos,andaban,
andar__futuro,47,andar,andar,futuro,Futuro,regular,ar,no,pretérito_fuerte,sí,andaré,andarás,andará,andaremos,andarán,
andar__condicional,47,andar,andar,condicional,Condicional,regular,ar,no,pretérito_fuerte,sí,andaría,andarías,andaría,andaríamos,andarían,
andar__presente_subjuntivo,47,andar,andar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,pretérito_fuerte,sí,ande,andes,ande,andemos,anden,
andar__imperfecto_subjuntivo,47,andar,andar,imperfecto_subjuntivo,Imperfecto de subjuntivo,irregular,ar,no,pretérito_fuerte,sí,anduviera,anduvieras,anduviera,anduviéramos,anduvieran,
andar__imperativo_afirmativo,47,andar,andar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,no,pretérito_fuerte,sí,,anda,ande,andemos,anden,
andar__imperativo_negativo,47,andar,andar,imperativo_negativo,Imperativo negativo,regular,ar,no,pretérito_fuerte,sí,,no andes,no ande,no andemos,no anden,
entrar__presente_indicativo,48,entrar,entrar,presente_indicativo,Presente,regular,ar,no,regular,sí,entro,entras,entra,entramos,entran,
entrar__preterito,48,entrar,entrar,preterito,Pretérito,regular,ar,no,regular,sí,entré,entraste,entró,entramos,entraron,
entrar__imperfecto,48,entrar,entrar,imperfecto,Imperfecto,regular,ar,no,regular,sí,entraba,entrabas,entraba,entrábamos,entraban,
entrar__futuro,48,entrar,entrar,futuro,Futuro,regular,ar,no,regular,sí,entraré,entrarás,entrará,entraremos,entrarán,
entrar__condicional,48,entrar,entrar,condicional,Condicional,regular,ar,no,regular,sí,entraría,entrarías,entraría,entraríamos,entrarían,
entrar__presente_subjuntivo,48,entrar,entrar,presente_subjuntivo,Presente de subjuntivo,regular,ar,no,regular,sí,entre,entres,entre,entremos,entren,
entrar__imperfecto_subjuntivo,48,entrar,entrar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,regular,sí,entrara,entraras,entrara,entráramos,entraran,
entrar__imperativo_afirmativo,48,entrar,entrar,imperativo_afirmativo,Imperativo afirmativo,regular,ar,no,regular,sí,,entra,entre,entremos,entren,
entrar__imperativo_negativo,48,entrar,entrar,imperativo_negativo,Imperativo negativo,regular,ar,no,regular,sí,,no entres,no entre,no entremos,no entren,
contar__presente_indicativo,50,contar,contar,presente_indicativo,Presente,irregular,ar,no,o→ue,sí,cuento,cuentas,cuenta,contamos,cuentan,
contar__preterito,50,contar,contar,preterito,Pretérito,regular,ar,no,o→ue,sí,conté,contaste,contó,contamos,contaron,
contar__imperfecto,50,contar,contar,imperfecto,Imperfecto,regular,ar,no,o→ue,sí,contaba,contabas,contaba,contábamos,contaban,
contar__futuro,50,contar,contar,futuro,Futuro,regular,ar,no,o→ue,sí,contaré,contarás,contará,contaremos,contarán,
contar__condicional,50,contar,contar,condicional,Condicional,regular,ar,no,o→ue,sí,contaría,contarías,contaría,contaríamos,contarían,
contar__presente_subjuntivo,50,contar,contar,presente_subjuntivo,Presente de subjuntivo,irregular,ar,no,o→ue,sí,cuente,cuentes,cuente,contemos,cuenten,
contar__imperfecto_subjuntivo,50,contar,contar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,o→ue,sí,contara,contaras,contara,contáramos,contaran,
contar__imperativo_afirmativo,50,contar,contar,imperativo_afirmativo,Imperativo afirmativo,irregular,ar,no,o→ue,sí,,cuenta,cuente,contemos,cuenten,
contar__imperativo_negativo,50,contar,contar,imperativo_negativo,Imperativo negativo,irregular,ar,no,o→ue,sí,,no cuentes,no cuente,no contemos,no cuenten,
conocer__presente_indicativo,51,conocer,conocer,presente_indicativo,Presente,irregular,er,no,yo-zco,sí,conozco,conoces,conoce,conocemos,conocen,
conocer__preterito,51,conocer,conocer,preterito,Pretérito,regular,er,no,yo-zco,sí,conocí,conociste,conoció,conocimos,conocieron,
conocer__imperfecto,51,conocer,conocer,imperfecto,Imperfecto,regular,er,no,yo-zco,sí,conocía,conocías,conocía,conocíamos,conocían,
conocer__futuro,51,conocer,conocer,futuro,Futuro,regular,er,no,yo-zco,sí,conoceré,conocerás,conocerá,conoceremos,conocerán,
conocer__condicional,51,conocer,conocer,condicional,Condicional,regular,er,no,yo-zco,sí,conocería,conocerías,conocería,conoceríamos,conocerían,
conocer__presente_subjuntivo,51,conocer,conocer,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,yo-zco,sí,conozca,conozcas,conozca,conozcamos,conozcan,
conocer__imperfecto_subjuntivo,51,conocer,conocer,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,er,no,yo-zco,sí,conociera,conocieras,conociera,conociéramos,conocieran,
conocer__imperativo_afirmativo,51,conocer,conocer,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,yo-zco,sí,,conoce,conozca,conozcamos,conozcan,
conocer__imperativo_negativo,51,conocer,conocer,imperativo_negativo,Imperativo negativo,irregular,er,no,yo-zco,sí,,no conozcas,no conozca,no conozcamos,no conozcan,
entender__presente_indicativo,58,entender,entender,presente_indicativo,Presente,irregular,er,no,e→ie,sí,entiendo,entiendes,entiende,entendemos,entienden,
entender__preterito,58,entender,entender,preterito,Pretérito,regular,er,no,e→ie,sí,entendí,entendiste,entendió,entendimos,entendieron,
entender__imperfecto,58,entender,entender,imperfecto,Imperfecto,regular,er,no,e→ie,sí,entendía,entendías,entendía,entendíamos,entendían,
entender__futuro,58,entender,entender,futuro,Futuro,regular,er,no,e→ie,sí,entenderé,entenderás,entenderá,entenderemos,entenderán,
entender__condicional,58,entender,entender,condicional,Condicional,regular,er,no,e→ie,sí,entendería,entenderías,entendería,entenderíamos,entenderían,
entender__presente_subjuntivo,58,entender,entender,presente_subjuntivo,Presente de subjuntivo,irregular,er,no,e→ie,sí,entienda,entiendas,entienda,entendamos,entiendan,
entender__imperfecto_subjuntivo,58,entender,entender,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,er,no,e→ie,sí,entendiera,entendieras,entendiera,entendiéramos,entendieran,
entender__imperativo_afirmativo,58,entender,entender,imperativo_afirmativo,Imperativo afirmativo,irregular,er,no,e→ie,sí,,entiende,entienda,entendamos,entiendan,
entender__imperativo_negativo,58,entender,entender,imperativo_negativo,Imperativo negativo,irregular,er,no,e→ie,sí,,no entiendas,no entienda,no entendamos,no entiendan,
tocar__presente_indicativo,59,tocar,tocar,presente_indicativo,Presente,regular,ar,no,-car,sí,toco,tocas,toca,tocamos,tocan,
tocar__preterito,59,tocar,tocar,preterito,Pretérito,ortografico,ar,no,-car,sí,toqué,tocaste,tocó,tocamos,tocaron,
tocar__imperfecto,59,tocar,tocar,imperfecto,Imperfecto,regular,ar,no,-car,sí,tocaba,tocabas,tocaba,tocábamos,tocaban,
tocar__futuro,59,tocar,tocar,futuro,Futuro,regular,ar,no,-car,sí,tocaré,tocarás,tocará,tocaremos,tocarán,
tocar__condicional,59,tocar,tocar,condicional,Condicional,regular,ar,no,-car,sí,tocaría,tocarías,tocaría,tocaríamos,tocarían,
tocar__presente_subjuntivo,59,tocar,tocar,presente_subjuntivo,Presente de subjuntivo,ortografico,ar,no,-car,sí,toque,toques,toque,toquemos,toquen,
tocar__imperfecto_subjuntivo,59,tocar,tocar,imperfecto_subjuntivo,Imperfecto de subjuntivo,regular,ar,no,-car,sí,tocara,tocaras,tocara,tocáramos,tocaran,
tocar__imperativo_afirmativo,59,tocar,tocar,imperativo_afirmativo,Imperativo afirmativo,ortografico,ar,no,-car,sí,,toca,toque,toquemos,toquen,
tocar__imperativo_negativo,59,tocar,tocar,imperativo_negativo,Imperativo negativo,ortografico,ar,no,-car,sí,,no toques,no toque,no toquemos,no toquen,
ponerse__presente_indicativo,69,ponerse,poner,presente_indicativo,Presente,irregular,er,sí,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular;pronominal,sí,me pongo,te pones,se pone,nos ponemos,se ponen,
ponerse__preterito,69,ponerse,poner,preterito,Pretérito,irregular,er,sí,yo-go;pretérito_fuerte;futuro_irregular;imperativo_tú_irregular;pronominal,sí,me puse,te pusiste,se puso,nos pusimos,se pusieron,
